"Story","Title","Result","Date","Stability","Duration (s)"
"As user I want to order tensi darah elektrik","As user I want to order tensi darah elektrik","SUCCESS","2022-05-20T23:47:27.446+07:00[Asia/Bangkok]","0.0","23.76"
"As user I want to see detail and rating tensi darah elektrik","As user I want to see detail and rating tensi darah elektrik","SUCCESS","2022-05-20T23:47:52.561+07:00[Asia/Bangkok]","0.0","19.6"
"As a user I want to login so that i can buy books","As a user I want to login successfully","SUCCESS","2022-05-20T23:48:13.279+07:00[Asia/Bangkok]","0.0","21.89"
"As user I want to register my account so that i can buy products","As user I want register my account successfully","SUCCESS","2022-05-20T23:48:36.231+07:00[Asia/Bangkok]","0.0","21.63"
"As a user I want to see tools category","AS a user I want to see tools category","SUCCESS","2022-05-20T23:48:58.947+07:00[Asia/Bangkok]","0.0","20.39"
